"id_dependencia","nombre"
142,"AUDITORIA INTERNA  (ESTRUCTURA ANTERIOR)"
144,"CONSULTORIA  JURIDICA  (ESTRUCTURA ANTERIOR)"
541,"CONSULTORIA JURIDICA"
71,"COORD.DE SERVICIOS GENERALES  (ESTRUCTURA ANTERIOR)"
200,"CORREO DEL ORINOCO (ESTRUCTURA ANTERIOR)"
128,"DEPARTAMENTO CANAL ONDA CORTA  (ESTRUCTURA ANTERIOR)"
41,"DEPARTAMENTO DE REGISTRO Y CONTROL  (ESTRUCTURA ANTERIOR)"
54,"DEPARTAMENTO DE RELACIONES INTERNACIONALES (ESTRCTURA ANTERIOR)"
60,"DEPARTAMENTO DE SERV. GENERALES (ESTRCTURA ANTERIOR)"
11,"DESPACHO DEL MINISTRO "
567,"DESPACHO DEL VICEMINISTRO DE COMUNICACION E INFORMACION"
287,"DESPACHO DEL VICEMINISTRO DE GESTION COMUNICACIONAL"
286,"DESPACHO DEL VICEMINISTRO DE NUEVAS FORMAS DE COMUNICACION (ESTRCTURA ANTERIOR)"
284,"DESPACHO DEL VICEMINISTRO DE PLANIFICACION Y  ESTRATEGIA COMUNICACIONAL"
285,"DESPACHO DEL VICEMINISTRO DE SOPORTE DE PLATAFORMA COMUNICACIONAL"
27,"DESPACHO VICEMINISTERIO DE ESTRAT. COMUNICACIONAL (ESTRCTURA ANTERIOR)"
31,"DESPACHO VICEMINISTERIO DE GESTION COMUNICACIONAL  (ESTRUCTURA ANTERIOR)"
102,"DIREC. GRAL. DE MEDIOS ALTERNATIVOS Y COMUNITARIOS  (ESTRUCTURA ANTERIOR)"
359,"DIRECCION  DE PRODUCCION NACIONAL INDEPENDIENTE (P.N.I.)"
81,"DIRECCION  DEL DESPACHO DEL MINISTRO  (ESTRUCTURA ANTERIOR)"
96,"DIRECCION CREATIVA  (ESTRUCTURA ANTERIOR)"
483,"DIRECCION DE ADMINISTRACION"
85,"DIRECCIÓN DE ADMINISTRACIÓN  (ESTRUCTURA ANTERIOR)"
56,"DIRECCION DE ADMINISTRACION (ESTRCTURA ANTERIOR)"
343,"DIRECCION DE ANALISIS DEL ENTORNO"
90,"DIRECCION DE ANALISIS DEL ENTORNO  (ESTRUCTURA ANTERIOR)"
562,"DIRECCION DE ANALISIS Y MONITOREO"
484,"DIRECCION DE ARCHIVO GENERAL"
88,"DIRECCION DE ARCHIVO GENERAL  (ESTRUCTURA ANTERIOR)"
356,"DIRECCION DE ARTE"
417,"DIRECCION DE ARTICULACION OPERATIVA CON MEDIOS"
93,"DIRECCION DE AUDIOVISUAL  (ESTRUCTURA ANTERIOR)"
355,"DIRECCION DE AUDIOVISUALES"
75,"DIRECCIÓN DE AUDITORIA INTERNA  (ESTRUCTURA ANTERIOR)"
82,"DIRECCION DE COBERTURA AUDIOVISUAL PRESIDENCIAL"
86,"DIRECCION DE COMPRAS  (ESTRUCTURA ANTERIOR)"
482,"DIRECCION DE COMPRAS Y SERVICIOS"
76,"DIRECCIÓN DE CONSULTORÍA JURÍDICA  (ESTRUCTURA ANTERIOR)"
485,"DIRECCION DE CONTABILIDAD"
563,"DIRECCION DE CONTENIDO MULTIMEDIA"
282,"DIRECCION DE CONTRATACIONES"
358,"DIRECCION DE CREATIVOS"
566,"DIRECCION DE DIFUSION"
345,"DIRECCION DE DISEÑO DE ESTRATEGIA"
91,"DIRECCION DE DISEÑO DE ESTRATEGIA  (ESTRUCTURA ANTERIOR)"
570,"DIRECCION DE ENLACE SICI"
353,"DIRECCION DE INVESTIGACION SOCIAL"
419,"DIRECCION DE LA OFICINA DE INFORMACION REGIONAL (OIR)"
414,"DIRECCION DE MEDIOS NO CONVENCIONALES (COMUNICALLE)"
101,"DIRECCION DE OFICINA DE INFORMACION REGIONAL  (ESTRUCTURA ANTERIOR)"
95,"DIRECCION DE PAUTAS PUBLICITARIAS  (ESTRUCTURA ANTERIOR)"
543,"DIRECCION DE PLANIFICACION"
564,"DIRECCION DE PLATAFORMA WEB"
55,"DIRECCION DE PRENSA (ESTRUCTURA ANTERIOR)"
83,"DIRECCION DE PRENSA PRESIDENCIAL"
544,"DIRECCION DE PRESUPUESTO"
357,"DIRECCION DE PUBLICACIONES"
94,"DIRECCION DE PUBLICACIONES  (ESTRUCTURA ANTERIOR)"
410,"DIRECCION DE RESPONSABILIDAD SOCIAL"
486,"DIRECCION DE SERVICIOS GENERALES"
87,"DIRECCION DE SERVICIOS GENERALES  (ESTRUCTURA ANTERIOR)"
74,"DIRECCIÓN DE TECNOLOGÍA E INFORMACIÓN  (ESTRUCTURA ANTERIOR)"
21,"DIRECCION DEL DESPACHO  (ESTRUCTURA ANTERIOR)"
571,"DIRECCION GENERAL DE ARTICULACION CON MEDIOS NAC. E INTERNACIONALES"
416,"DIRECCION GENERAL DE COMUNICACION DE GOBIERNO"
552,"DIRECCION GENERAL DE COMUNICACION DIGITAL"
99,"DIRECCION GENERAL DE COMUNICACION INTERNACIONAL  (ESTRUCTURA ANTERIOR)"
98,"DIRECCION GENERAL DE COMUNICACION NACIONAL  (ESTRUCTURA ANTERIOR)"
149,"DIRECCION GENERAL DE COMUNICACIONES PRESIDENCIALES  (ESTRUCTURA ANTERIOR)"
29,"DIRECCION GENERAL DE COORDINACION INSTITUCIONAL  (ESTRUCTURA ANTERIOR)"
415,"DIRECCION GENERAL DE DIFUSION METRICA Y DIGITAL (ESTRCTURA ANTERIOR)"
92,"DIRECCION GENERAL DE DIFUSION Y PUBLICIDAD  (ESTRUCTURA ANTERIOR)"
413,"DIRECCION GENERAL DE DISEÑO DE CONTENIDOS ALTERNATIVOS (ESTRCTURA ANTERIOR)"
289,"DIRECCION GENERAL DE ESTRATEGIA COMUNICACIONAL"
89,"DIRECCIÓN GENERAL DE ESTRATEGIA COMUNICACIONAL  (ESTRUCTURA ANTERIOR)"
73,"DIRECCION GENERAL DE GESTION ADMINISTRATIVA  (ESTRUCTURA ANTERIOR)"
28,"DIRECCION GENERAL DE GESTION INFORMATIVA  (ESTRUCTURA ANTERIOR)"
412,"DIRECCION GENERAL DE INTEGRACION Y REDES TECNOLOGICAS"
418,"DIRECCION GENERAL DE MEDIOS ALTERNATIVOS Y COMUNITARIOS"
100,"DIRECCION GENERAL DE MEDIOS OFICIALES Y OIR  (ESTRUCTURA ANTERIOR)"
569,"DIRECCION GENERAL DE PLANES COMUNICACIONALES"
97,"DIRECCION GENERAL DE PRENSA  (ESTRUCTURA ANTERIOR)"
340,"DIRECCION GENERAL DE PRODUCCION DE CONTENIDO"
104,"DIRECCION GENERAL DE RELACIONES INTERINSTITUCIONALES  (ESTRUCTURA ANTERIOR)"
103,"DIRECCION GENERAL DE RESPONSABILIDAD SOCIAL  (ESTRUCTURA ANTERIOR)"
341,"DIRECCION GENERAL DE RESPONSABILIDAD SOCIAL Y PROD. NAC. INDEPEND."
568,"DIRECCION GENERAL DE SEGUIMIENTO Y POLITICAS"
411,"DIRECCION GENERAL DE TRANSMISIONES"
471,"DIRECCION GENERAL DEL DESPACHO"
470,"DIRECCION GRUPO EDITORIAL"
33,"DIVISION DE PERSONAL  (ESTRCTURA ANTERIOR)"
42,"DIVISION DE PERSONAL  (ESTRUCTURA ANTERIOR)"
40,"DIVISION DE PRESUPUESTO  (ESTRUCTURA ANTERIOR)"
44,"DIVISION DE TRANSMISION  (ESTRUCTURA ANTERIOR)"
32,"JEFATURA SERV. AUTONO. IMP. NAC. Y GACETA (ESTRCTURA ANTERIOR)"
61,"JEFATURA SERVICIO AUTONOMO RADIO VENPRES  (ESTRUCTURA ANTERIOR)"
25,"OFIC. CONSULTORIA Y ANALISIS JURIDICO  (ESTRUCTURA ANTERIOR)"
131,"OFIC. ESTRATEGICA DE SEGUIMIENTO Y EVALUACION DE POLITICAS PUBLICAS"
23,"OFIC. GESTION INTERNA  (ESTRUCTURA ANTERIOR)"
22,"OFIC. INVESTIGACION COMUNICACIONAL (ESTRUCTURA ANTERIOR)"
26,"OFIC. PLANIFICACION Y PRESUPUESTO (ESTRCTURA ANTERIOR)"
84,"OFICINA DE ADMINISTRACION Y FINANZAS  (ESTRUCTURA ANTERIOR)"
72,"OFICINA DE ASUNTOS PRESIDENCIALES  (ESTRUCTURA ANTERIOR)"
540,"OFICINA DE ATENCION CIUDADANA"
222,"OFICINA DE AUDITORIA INTERNA"
228,"OFICINA DE GESTION ADMINISTRATIVA"
229,"OFICINA DE GESTION COMUNICACIONAL"
225,"OFICINA DE GESTION HUMANA"
281,"OFICINA DE INTEGRACION Y ASUNTOS INTERNACIONALES"
143,"OFICINA DE PLANIFICACION  (ESTRUCTURA ANTERIOR)"
488,"OFICINA DE PLANIFICACION Y PRESUPUESTO"
227,"OFICINA DE PRENSA PRESIDENCIAL"
146,"OFICINA DE PRESUPUESTO  (ESTRUCTURA ANTERIOR)"
147,"OFICINA DE RECURSOS HUMANOS  (ESTRUCTURA ANTERIOR)"
280,"OFICINA DE SEGURIDAD Y PROTECCION INTEGRAL"
148,"OFICINA DE TECNOLOGIA  (ESTRUCTURA ANTERIOR)"
226,"OFICINA DE TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION"
212,"PERSONAL PENSIONADOS Y JUBILADOS AGENCIA BOLIVARIANA  (ESTRUCTURA ANTERIOR)"
211,"PERSONAL PENSIONADOS Y JUBILADOS RADIO NACIONAL DE VENEZUELA  (ESTRUCTURA ANTERIOR)"
46,"PLANTA DE CARABOBO  (ESTRUCTURA ANTERIOR)"
49,"PLANTA DE PUERTO ORDAZ  (ESTRUCTURA ANTERIOR)"
45,"PLANTA LA RINCONADA  (ESTRUCTURA ANTERIOR)"
24,"UNIDAD DE AUDITORIA INTERNA (ESTRCTURA ANTERIOR)"
12,"VICEMINISTERIO DE ESTRATEGIA COMUNICACIONAL  (ESTRUCTURA ANTERIOR)"
13,"VICEMINISTERIO DE GESTIÓN COMUNICACIONAL  (ESTRUCTURA ANTERIOR)"
